codigo_region,nombre_region,codigo_provincia,nombre_provincia,codigo_comuna,nombre_comuna,poblacion,pobreza_personas,pobreza_porcentaje,pobreza_porcentaje_inf,pobreza_porcentaje_sup,presencia_de_la_comuna_en_la_muestra_casen,tipo_de_estimacion_sae
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,21106,3467.51013883824,0.1642902557963726,0.1248380494681074,0.2037424621246377,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,14328,2644.388000971908,0.1845608599226625,0.1424850683322804,0.2266366515130446,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,65973,12963.98422539487,0.1965043915752637,0.1604843924481628,0.2325243907023645,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,31848,3514.87264529499,0.1103639991614855,0.07645839292151008,0.1442696054014609,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,52436,10427.91207466355,0.198869327840864,0.1619741529824478,0.2357645026992802,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,18894,3615.606851408781,0.1913626998734403,0.1514347052709639,0.2312906944759168,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,3095,582.9779740795624,0.1883612194118134,0.1383569047947887,0.238365534028838,Sí,Sintética
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,6965,1257.737177021225,0.1805796377632771,0.1318250508116686,0.2293342247148856,Sí,Sintética
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,7717,1144.849890362598,0.1483542685451079,0.1068416235817812,0.1898669135084346,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,7161,1535.453894649086,0.2144189211910467,0.1619787479572651,0.2668590944248284,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,6247,1563.360477460774,0.25025780013779,0.1997091285139695,0.3008064717616105,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,81345,16132.57554696788,0.1983228907365896,0.1676718802749176,0.2289739011982616,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,16177,3339.717593044202,0.2064485128914015,0.1598520878100975,0.2530449379727055,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,38497,8031.269556658922,0.2086206602244051,0.1691945651444959,0.2480467553043142,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,7468,1523.466441428372,0.2039992556813567,0.1548438245894221,0.2531546867732913,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,19779,3302.301040714669,0.166959959589194,0.1258913051468719,0.2080286140315162,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,13626,2384.660517837913,0.1750081108056593,0.129677312188749,0.2203389094225695,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,12208,2291.035498861337,0.1876667348346442,0.1427205475489071,0.2326129221203814,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,9288,1899.41173891604,0.2045016945430706,0.1603565842351573,0.2486468048509839,Sí,Directa y Sintética (Fay-Herriot)
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,3518,632.6483184390539,0.1798318130867123,0.124333588807914,0.2353300373655106,Sí,Sintética
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,42722,7890.408859330977,0.1846919352869945,0.1498986421357584,0.2194852284382305,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7101,Talca,242818,59188.18044185283,0.2437553247364397,0.2165328619350693,0.2709777875378102,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7102,Constitución,50625,11168.29501697228,0.2206082966315512,0.1771861668635769,0.2640304263995256,Sí,Directa y Sintética (Fay-Herriot)
7,Maule,71,Talca,7103,Curepto,9112,2747.850321771678,0.3015639071303422,0.239407963306797,0.3637198509538874,Sí,Sintética
7,Maule,71,Talca,7104,Empedrado,4168,1076.453065301417,0.2582660905233725,0.2054181057196217,0.3111140753271233,Sí,Directa y Sintética (Fay-Herriot)
